@relation Sentado


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
0.000625,2.030048,0.001039,-9.086136,0.003034,2.834242,Leve
0.000396,2.027044,0.000464,-9.084822,0.000878,2.868512,Leve
0.000632,2.011176,0.000882,-9.099328,0.003678,2.811685,Leve
0.000622,2.003876,0.000761,-9.107215,0.004758,2.795747,Leve
0.001400,2.007280,0.000855,-9.101558,0.003934,2.818633,Leve
0.006495,1.848755,0.002724,-9.044097,0.018079,3.100012,Leve
0.005261,1.842948,0.002398,-9.088718,0.007401,2.979208,Leve
0.016077,1.915854,0.009173,-9.090080,0.045235,2.902524,Leve
0.008662,1.943896,0.002678,-9.073756,0.013136,2.945625,Leve
0.011535,1.853932,0.002531,-9.029377,0.020579,3.150260,Leve
0.002981,1.724003,0.000871,-9.058615,0.004665,3.158385,Leve
0.023940,1.728281,0.005506,-9.019335,0.020869,3.290564,Leve
0.053127,1.835060,0.070635,-9.227205,1.985777,2.007347,Leve
0.094456,1.617049,0.031508,-9.387008,0.557475,1.775840,Leve
0.001416,1.869402,0.000454,-9.260115,0.003459,2.312963,Leve
0.128622,1.630427,0.025710,-9.370091,0.364982,1.873798,Leve
0.081070,0.130260,0.003125,-9.676366,0.058134,0.758937,Leve
0.010117,1.559005,0.005926,-9.059153,0.048205,3.198677,Moderado
0.407063,1.142816,0.053979,-9.229991,0.173667,2.889446,Moderado
0.073563,0.693337,0.013991,-9.237644,0.050581,2.976400,Moderado
0.003262,0.801003,0.001747,-9.232753,0.005343,3.013067,Moderado
0.031372,0.757370,0.012883,-9.280656,0.108412,2.851458,Moderado
0.068479,-0.291121,0.001425,-9.687722,0.064301,0.641563,Moderado
0.058001,0.730682,0.002724,-9.521586,0.044405,1.806721,Moderado
0.005606,0.857681,0.000928,-9.509769,0.006674,1.854866,Moderado
0.500115,-0.139929,0.002196,-9.648046,0.146328,0.810545,Moderado
0.505414,0.215680,0.032154,-9.469151,0.501450,1.939410,Moderado
1.918033,-0.428682,0.015968,-9.551332,0.700573,0.807588,Moderado
1.058078,-0.583144,0.009724,-9.563914,0.593635,0.992863,Moderado
0.045048,0.735684,0.005939,-9.620720,0.399389,0.972224,Moderado
0.217713,0.847990,0.024478,-9.478800,0.533973,1.862629,Moderado
2.221984,-0.882654,0.316300,-9.493401,0.099300,0.922123,Moderado
0.277742,-0.538186,0.036256,-9.652769,1.511025,-0.236587,Moderado
0.088234,-0.163273,0.015223,-9.627408,0.593049,1.074530,Moderado
0.203660,-0.260897,0.026650,-9.517864,0.631876,1.834136,Moderado
0.583879,-0.704547,0.011890,-9.610219,0.800755,0.400567,Moderado
0.964969,-0.067002,0.007934,-9.638558,0.406283,-0.206518,Moderado
0.273981,0.362734,0.007885,-9.652332,0.598941,-0.303728,Moderado
0.137833,0.141507,0.010946,-9.644959,1.088554,-0.106435,Moderado
0.181896,0.193179,0.034277,-9.645265,0.737354,-0.780967,Moderado
0.222922,-0.126099,0.010692,-9.640704,0.578484,-0.543958,Moderado
0.466455,1.646086,0.591747,-9.024632,0.281618,2.884750,Vigoroso
0.763344,1.227146,0.447184,-9.449398,1.624532,1.975827,Vigoroso
0.864814,0.871513,0.414048,-9.397852,1.657504,1.756781,Vigoroso
0.365207,1.208617,0.136286,-9.480057,2.176087,0.776248,Vigoroso
0.272237,0.952485,0.149561,-9.394776,0.529325,2.304491,Vigoroso
0.108811,0.945358,0.109696,-9.338255,0.461280,2.403919,Vigoroso
0.196245,1.127789,0.066561,-9.481422,0.472143,1.774127,Vigoroso
0.092563,1.230237,0.048031,-9.388766,0.273221,2.164047,Vigoroso
0.174569,1.249725,0.098870,-9.332766,0.339203,2.347371,Vigoroso
0.102716,1.164451,0.084852,-9.418132,0.150212,2.107954,Vigoroso
0.113446,1.363427,0.022450,-9.467096,0.412856,1.640474,Vigoroso
0.171084,1.150414,0.059019,-9.411104,0.350336,2.008735,Vigoroso
1.820907,0.854898,0.045963,-9.518771,0.773122,1.027256,Vigoroso
1.320944,0.687535,0.401982,-9.338701,1.329380,2.202877,Vigoroso
