@relation Andando


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
5.452421,-1.822165,6.040135,-9.601175,3.690759,0.100888,Leve
4.408001,-1.383753,10.973016,-9.671461,6.311654,0.768120,Leve
3.967223,-1.531960,7.169248,-9.414377,3.042376,1.000107,Leve
2.934594,-1.230955,4.893599,-9.517490,1.989719,1.320702,Leve
2.748076,-1.112142,7.103741,-9.521053,2.431302,0.563763,Leve
3.629091,-1.287488,10.254991,-9.358626,3.581321,0.959494,Leve
2.184144,-1.456042,5.428317,-9.381229,2.526847,1.512851,Leve
4.534213,-1.233193,5.862746,-9.868756,2.735264,0.861027,Leve
4.064266,-1.205469,5.791762,-9.640324,2.663848,1.050142,Leve
3.856463,-1.460534,3.392082,-9.507339,3.177200,1.560166,Leve
3.328791,-0.799438,5.910385,-9.507150,3.317576,0.844134,Leve
5.464833,-1.175873,9.135178,-9.691527,3.164255,1.501710,Leve
2.481838,-1.901648,5.204778,-9.291660,2.213928,1.795047,Leve
3.551495,-1.251824,6.640611,-9.410943,3.094019,1.174901,Leve
1.354746,-1.495001,1.544194,-9.316526,1.105426,2.321013,Leve
5.166502,-0.571113,9.160567,-9.721345,3.863633,1.461133,Moderado
7.676410,-0.472338,10.778763,-9.559320,7.672535,0.860316,Moderado
8.469367,-1.096425,7.695858,-9.365495,3.781853,1.484166,Moderado
15.199382,-0.822267,10.983705,-9.139325,10.778713,1.789337,Moderado
10.712922,-0.845247,9.405191,-9.747758,4.741569,0.806940,Moderado
10.278894,-1.065587,9.065357,-9.472396,5.396655,0.878504,Moderado
13.406019,-1.727452,11.337063,-9.507949,8.284005,0.492822,Moderado
10.793392,-1.446380,7.082253,-9.346916,6.504266,0.738259,Moderado
8.845178,-0.989486,7.320253,-9.782990,4.514485,0.416450,Moderado
9.678229,-1.088188,5.633328,-9.509816,4.137637,1.174027,Moderado
11.066325,-1.489874,12.986005,-9.834465,7.685683,0.513603,Moderado
7.800562,-0.911581,4.563737,-9.725552,2.432102,0.559375,Moderado
9.452630,-1.173206,3.763114,-9.254411,3.042616,0.600053,Moderado
3.724234,-1.771206,4.549658,-9.585211,2.380852,1.079713,Moderado
4.896283,-1.130255,8.431962,-9.721129,2.643263,0.487196,Moderado
7.842970,-1.281856,10.122496,-10.104393,5.221952,0.439743,Moderado
5.241767,-1.283550,8.194406,-9.536575,3.815356,0.824216,Moderado
5.819407,-0.794995,4.712117,-9.510033,2.636549,0.409265,Moderado
3.974365,-0.870292,7.186191,-9.890160,2.656743,0.671071,Moderado
4.796196,-1.450814,7.941667,-9.341744,4.091795,0.989619,Moderado
6.536369,-1.103375,7.721319,-9.541035,3.115896,0.990965,Moderado
7.280369,-0.595294,10.471829,-9.578387,9.482391,0.288022,Moderado
11.795804,-1.208555,9.308366,-9.286569,5.136747,0.820249,Moderado
10.381763,-1.170530,13.450106,-9.520872,6.258829,0.826422,Moderado
